title,synopsis
Second Hand Wedding,"A small film with a big heart, SECOND HAND WEDDING is a bittersweet dramatic comedy set in the present, in a time when trademe and e-bay threaten the primeval urge for a firsthand crack at the second-hand. Jill keeps the dream alive until she is forced to confront the habits of a lifetime and concede that no bargain is worth her daughter's happiness. Father of the bride, Brian, quips that Cheryl's upcoming wedding will be the first time anyone in the Rose family has given something away - and that's the crux of it."
Giai Cuu Than Chet,"After watching a film Nu Hon Than Chet, a dreamy clumsy high-school girl An wishes that she can meet a Prince Reaper that helps her to complete her dream. As her wish, An runs into this Teen Reaper. However, he's such a clumsy Reaper that makes a lot of trouble for An. Instead of being rescued, An has to ""save"" this Teen Reaper's life."
The Far Country,"In 1896, Jeff Webster sees the start of the Klondike gold rush as a golden opportunity to make a fortune in beef...and woe betide anyone standing in his way! He drives a cattle herd from Wyoming to Seattle, by ship to Skagway, and (after a delay caused by larcenous town boss Gannon) through the mountains to Dawson. There, he and his partner Ben Tatum get into the gold business themselves. Two lovely women fall for misanthropic Jeff, but he believes in every-man-for-himself, turning his back on growing lawlessness...until it finally strikes home."
Mr. Baseball,"Jack Elliot, a one-time MVP for the New York Yankees is now on the down side of his baseball career. With a falling batting average, does he have one good year left and can the manager of the Chunichi Dragons, a Japanese Central baseball league find it in him?"
Attack of the 50 Foot Woman,"When an abused wife grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind."
Perfect Creature,"The vampire myth is given a stylish 1960s treatment, where a human cop partners with a vampire cop to stop a vamp bent on creating a war between the two ""separate but equal"" races."
Heaven Can Wait,"Spoiled playboy Henry van Cleve dies and arrives at the entrance to Hell, a final destination he is sure he deserves after living a life of profligacy. The devil, however, isn't so sure Henry meets Hell's standards. Convinced he is where he belongs, Henry recounts his life's deeds, both good and bad, including an act of indiscretion during his 25-year marriage to his wife, Martha, with the hope that ""His Excellency"" will arrive at the proper judgment."
L.I.E.,"In this biting and disturbing coming-of-age tale from writer-director Michael Cuesta, life is bittersweet along the L.I.E., also known as the Long Island Expressway, as suburban teen Howie Blitzer learns all too clearly. In the space of a week, he loses nearly everything and everyone he knows and is left to navigate his adolescence virtually unsupervised."
The Lizzie McGuire Movie,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true."
Faintheart,"A romantic comedy set in the world of battle re-enactments, about an irresponsible guy who has to shape up in order to win back his wife."
The House Next Door,"Walker Kennedy and his wife Col are a happy, voluntarily childless suburban couple. Then the thing they fear the most happens: part of their green surrounding is turned into a building site, for what turns out to be the widely acclaimed first house built by attractive, brilliant, obsessively devoted architect Kim (30), who has a short affair with Col. Kim is even enchanted by his own house, just like everyone else. However each subsequent couple that moves into the house soon turns nasty, never staying for long, ending in tears and/or blood. When Kim finally buys it with his wife, Col who believes he somehow curses all his buildings insists it's time to deal with him, permanently."
Bloodline,"One man's journey into the world of the so-called 'Bloodline' conspiracy, at the heart of Dan Brown's The Da Vinci Code, where a secret society, the Priory of Sion, claims to have guarded evidence of the marriage of Mary Magdalene and Jesus Christ, their children and their descendants down through the centuries."
Pigs,"A college ladies man accepts a challenge from his dorm buddies - sleep with the entire alphabet, A through Z, before graduation. The rules are simple: the rarer the first letter of the girl's last name, the higher the payout. All goes well until he falls for the ""X"". Now he's torn between his feelings for the girl and winning the bet for his friends."
The Cell 2,The Cusp is a serial killer who kills his victims and then brings them back to life; over and over again; until they beg to die! Maya is a psychic investigator who gained her powers after a 1 year coma after she was the Cusp's first victim! Now the Cusp Killer is back and Maya has little time to do what she has never done before: go into the mind of a killer unprotected and save his latest victim.
Practical Joke,"Remake film. Russian drama school domination. In the last quarter of graduating class comes a new student, violating all classifications, and an affront to the leader. That, in turn, is ready to do anything not to give up this title until the end of school days. How badly would not have had to deal with those who stand in his path to goal."
Blue Juice,"JC is the hero of the Cornish surfing community. Staring thirty hard in the face, he fears that the wave that has carried him through a prolonged adolescence is heading for the rocks as his girlfriend pressures him for commitment and his friends contemplate growing up."
Ben Hogan: The Golf Swing,"Jim McLean has worked with many of the best PGA Tour Professionals but his dedication to the Amateur player is what sets him apart. His reputation as one of the premier instructors in the game is enhanced even more as he breaks down the fundamentals of Ben Hogan's golf swing. Using never-before-seen footage, he explains step-by-step the elements that makes Hogan's swing."
